"row","country","prob","escs","math","reading","science"
"144","Israel",0.8,0.92,512.50975,539.4199,513.7449
"145","Israel",1,2.39,532.3337,551.6398,538.0828
"146","Italy",0.2,-0.87,449.6884,457.5266,459.4741
"147","Italy",0.4,-0.31,478.587,489.3784,492.3909
"148","Italy",0.6,0.18,497.2036,507.0516,509.8284
"149","Italy",0.8,0.87,508.4982,517.0204,519.1533
"150","Italy",1,2.7,528.9064,538.6256,538.6423
"151","Jordan",0.2,-1.27,354.2686,377.619,380.1194
"152","Jordan",0.4,-0.64,371.13255,398.1122,396.34465
"153","Jordan",0.6,-0.09,381.3756,402.878,407.2548
"154","Jordan",0.8,0.45,395.20175,417.923,421.2421
"155","Jordan",1,2.94,417.12885,440.78845,444.7874
"156","Japan",0.2,-0.76,498.41095,506.19405,517.00855
"157","Japan",0.4,-0.3,522.9864,532.2712,539.0153
"158","Japan",0.6,0.134000000000005,541.8367,543.1391,555.75345
"159","Japan",0.8,0.6,561.0765,567.08885,573.8903
"160","Japan",1,2.04,581.64045,584.9268,591.98065
"161","Kazakhstan",0.2,-0.97,399.1354,353.7999,390.3767
"162","Kazakhstan",0.4,-0.45,420.7898,386.1975,419.9366
"163","Kazakhstan",0.6,0.01,426.0866,394.21795,422.45435
"164","Kazakhstan",0.8,0.41,438.0823,413.2041,439.5188
"165","Kazakhstan",1,1.72,459.9704,429.8243,457.4226
"166","South Korea",0.2,-0.67,512.1592,505.5823,513.5584
"167","South Korea",0.4,-0.16,537.59155,526.11525,526.70645
"168","South Korea",0.6,0.28,554.80605,541.6043,543.398
"169","South Korea",0.8,0.698000000000002,581.36785,560.026,558.3178
"170","South Korea",1,1.98,608.2022,579.1355,575.7553
"171","Liechtenstein",0.2,-0.388,485.09115,488.76385,473.7411
"172","Liechtenstein",0.4,0.0540000000000001,546.6661,511.9368,521.9508
"173","Liechtenstein",0.6,0.576,571.67,531.6713,555.7068
"174","Liechtenstein",0.8,1.086,551.9629,532.4733,541.533
"175","Liechtenstein",1,2.59,572.83845,551.6799,561.06865
"176","Lithuania",0.2,-1.04,428.61815,438.6056,457.88885
"177","Lithuania",0.4,-0.39,457.78935,461.89985,478.1238
"178","Lithuania",0.6,0.23,475.9386,480.6807,496.9601
"179","Lithuania",0.8,0.76,503.5909,507.6475,522.1373
"180","Lithuania",1,2.7,525.7517,522.1554,540.69375
"181","Luxembourg",0.2,-0.923999999999999,433.3307,432.1881,419.0974
"182","Luxembourg",0.4,-0.16,459.0357,463.0867,459.3808
"183","Luxembourg",0.6,0.48,492.9974,495.5036,496.9601
"184","Luxembourg",0.8,1.13,521.6233,527.2233,532.721
"185","Luxembourg",1,3.21,554.7671,556.4514,556.5461
"186","Latvia",0.2,-1.028,452.8042,457.0102,473.4614
"187","Latvia",0.4,-0.47,470.7197,481.5147,488.3812
"188","Latvia",0.6,0.12,498.17725,507.27285,513.2786
"189","Latvia",0.8,0.67,515.35285,521.4866,531.4155
"190","Latvia",1,2.52,540.3957,538.9434,545.1231
"191","Macao-China",0.2,-1.6,520.8833,501.88375,511.64675
"192","Macao-China",0.4,-1.176,539.6557,513.5254,523.7225
"193","Macao-China",0.6,-0.75,538.52625,510.8228,522.6035
"194","Macao-China",0.8,-0.18,550.1714,515.4318,528.3849
"195","Macao-China",1,2.08,562.907,529.3858,543.67775
"196","Mexico",0.2,-2.15,387.2176,397.7465,391.3092
"197","Mexico",0.4,-1.47,405.289,418.6054,408.1872
"198","Mexico",0.6,-0.75,413.7794,429.1827,417.4189
"199","Mexico",0.8,0.196000000000022,426.4761,442.4347,430.567
"200","Mexico",1,2.55,454.4399,471.8242,454.8116
"201","Montenegro",0.2,-1.09,365.95265,379.1741,363.28795
"202","Montenegro",0.4,-0.53,391.07335,406.78935,392.10185
"203","Montenegro",0.6,-0.03,401.3943,417.4139,406.3223
"204","Montenegro",0.8,0.57,416.8952,436.19935,418.1649
"205","Montenegro",1,2.37,452.181,469.3602,456.5834
"206","Malaysia",0.2,-1.53,387.4513,377.6979,394.1999
"207","Malaysia",0.4,-1.02,399.3691,387.47425,402.5923
"208","Malaysia",0.6,-0.47,419.3878,404.0418,416.16
"209","Malaysia",0.8,0.2,432.5518,406.6113,429.3547
"210","Malaysia",1,1.86,477.6523,449.504,471.0369
"211","Netherlands",0.2,-0.49,473.8355,468.2375,468.9855
"212","Netherlands",0.4,0.07,506.00565,496.377,506.79785
"213","Netherlands",0.6,0.5,519.98755,515.31165,526.1936
"214","Netherlands",0.8,0.91,545.6535,537.1209,546.1022
"215","Netherlands",1,2.59,572.0595,556.7359,573.2376
"216","Norway",0.2,-0.2,456.6989,479.01795,463.204
"217","Norway",0.4,0.36,472.62815,491.5741,479.84895
"218","Norway",0.6,0.76,494.59415,514.8758,502.3685
"219","Norway",0.8,1.13,510.4845,528.54045,517.19505
"220","Norway",1,2.6,530.6979,543.5857,531.92835
"221","New Zealand",0.2,-0.7,436.6023,455.8585,453.8791
"222","New Zealand",0.4,-0.14,482.3259,501.4465,505.4457
"223","New Zealand",0.6,0.33,506.62875,526.7904,526.65985
"224","New Zealand",0.8,0.8,529.88005,539.6908,550.345
"225","New Zealand",1,2.34,564.5817,586.5231,590.02235
"226","Peru",0.2,-2.28,313.3744,322.8116,329.765
"227","Peru",0.4,-1.57,338.534,362.0505,351.3055
"228","Peru",0.6,-1.01,370.4705,388.432,378.3476
"229","Peru",0.8,-0.14,389.0871,410.5776,394.1999
"230","Peru",1,1.95,421.0235,449.7026,421.00895
"231","Poland",0.2,-0.98,468.81135,477.941,480.9213
"232","Poland",0.4,-0.62,493.65945,504.94685,508.8959
"233","Poland",0.6,-0.05,512.0813,521.2302,525.6807
"234","Poland",0.8,0.86,540.35675,541.94935,541.7195
"235","Poland",1,2.41,580.7836,577.6263,580.6975
"236","Portugal",0.2,-1.53,431.03285,438.63385,438.0735
"237","Portugal",0.4,-0.97,459.8146,469.9216,468.5192
"238","Portugal",0.6,-0.34,479.2102,489.1682,489.2204
"239","Portugal",0.8,0.67,504.9151,509.1367,508.2432
"240","Portugal",1,2.7,560.0639,548.6525,550.76465
"241","Qatar",0.2,-0.2,332.8478,345.33025,338.2507
"242","Qatar",0.4,0.36,356.3717,377.5375,366.505
"243","Qatar",0.6,0.74,382.8556,403.9106,395.0392
"244","Qatar",0.8,1.12,396.3312,419.399,406.975
"245","Qatar",1,2.82,388.4639,412.69545,397.74335
"246","China-Shanghai",0.2,-1.25,552.5082,521.9678,530.85605
"247","China-Shanghai",0.4,-0.64,597.8423,560.8663,571.0929
"248","China-Shanghai",0.6,-0.03,621.7557,573.3725,585.0802
